Segment Type,Sovrn Segment ID,Sovrn Parent Segment ID,Segment Name,Segment Description,Tier Number,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Full Path,CPM,% Media Cost,Actively Generated,"7 Day Sovrn Cookie Scale, Global","7 Day Sovrn Cookie Scale, US","7 Day HEM Scale, US","1 Day Average IP Scale, Rolling 7 Days, Global"
Interest,683,10097,Mother's Day,"Focuses on gift ideas, celebrations, and marketing trends for honoring mothers on their special day.",2,Holidays,Mother's Day,,,,,Interest > Holidays > Mother's Day,0.75,0.1,Yes,"337,299","210,636","1,035,246",
Interest,689,10097,Ramadan,"Focuses on the Islamic holy month, emphasizing traditions, fasting practices, celebrations, and community gatherings.",2,Holidays,Ramadan,,,,,Interest > Holidays > Ramadan,0.75,0.1,Yes,"214,236","23,715","151,187",
Interest,690,10097,Valentine's Day,"Covers traditions, gift ideas, and marketing trends for celebrating love and relationships on February 14th.",2,Holidays,Valentine's Day,,,,,Interest > Holidays > Valentine's Day,0.75,0.1,Yes,"33,601,431","21,084,999","101,398,105",
Interest,691,10097,Cinco De Mayo,"Explores the cultural significance of May 5th, celebrating Mexican heritage and traditions.",2,Holidays,Cinco De Mayo,,,,,Interest > Holidays > Cinco De Mayo,0.75,0.1,Yes,"1,488,873","108,905","601,996",
Interest,696,10097,Mardi Gras,"Highlights the festivities, parades, and cultural significance of this pre-Lenten celebration.",2,Holidays,Mardi Gras,,,,,Interest > Holidays > Mardi Gras,0.75,0.1,Yes,"724,073","459,354","2,254,264",
Interest,702,10097,April Fools Day,"Focuses on pranks, humor, and marketing campaigns associated with this playful day on April 1st.",2,Holidays,April Fools Day,,,,,Interest > Holidays > April Fools Day,0.75,0.1,Yes,"1,115",672,"4,113",
Interest,703,10097,Good Friday,"Explores the religious observance commemorating the crucifixion of Jesus, focusing on traditions and services.",2,Holidays,Good Friday,,,,,Interest > Holidays > Good Friday,0.75,0.1,Yes,"752,280","592,912","2,174,651",
Interest,704,10097,Eid Al Adha,"Covers the Islamic Festival of Sacrifice, including traditions, prayers, and community celebrations.",2,Holidays,Eid Al Adha,,,,,Interest > Holidays > Eid Al Adha,0.75,0.1,Yes,"242,615","27,026","138,068",
Interest,705,10097,Palm Sunday,"Highlights the Christian observance marking the beginning of Holy Week, including processions and services.",2,Holidays,Palm Sunday,,,,,Interest > Holidays > Palm Sunday,0.75,0.1,Yes,"22,942","16,906","99,827",
Interest,706,10097,Passover,"Focuses on the Jewish holiday commemorating the Exodus, exploring traditions, Seder meals, and historical significance.",2,Holidays,Passover,,,,,Interest > Holidays > Passover,0.75,0.1,Yes,"143,863","126,759","829,374",
Interest,707,10097,St. Patrick's Day,"Explores the celebration of Irish culture on March 17th, including parades, food, and traditions.",2,Holidays,St. Patrick's Day,,,,,Interest > Holidays > St. Patrick's Day,0.75,0.1,Yes,"34,279","17,713","101,477",
Interest,753,1084,Ford Trucks,Readers who have interest or own Ford Trucks.,3,Automotive,Auto Type,Ford Trucks,,,,Interest > Automotive > Auto Type > Ford Trucks,0.65,0.1,Yes,"223,313","223,313",,
Interest,754,1084,Chevy Trucks,Readers who have interest or own Chevy Trucks.,3,Automotive,Auto Type,Chevy Trucks,,,,Interest > Automotive > Auto Type > Chevy Trucks,0.65,0.1,Yes,"193,286","193,286",,
Interest,755,1086,Looking to Upgrade Auto,"Highlights consumers planning to upgrade their vehicles, focusing on preferences for new models or features.",3,Automotive,Auto Buying and Selling,Looking to Upgrade Auto,,,,Interest > Automotive > Auto Buying and Selling > Looking to Upgrade Auto,0.65,0.1,Yes,"6,210,328","6,210,328",,
Interest,756,1084,High Efficiency Auto,Readers who have interest or own High Efficiency Auto.,3,Automotive,Auto Type,High Efficiency Auto,,,,Interest > Automotive > Auto Type > High Efficiency Auto,0.65,0.1,Yes,"151,970","151,970",,
Interest,758,10000,Pickup Trucks,Readers who have interest or own Pickup Trucks style vehicles.,3,Automotive,Auto Body Styles,Pickup Trucks,,,,Interest > Automotive > Auto Body Styles > Pickup Trucks,0.75,0.1,Yes,"708,753","708,753",,
Interest,759,10000,Sedan,Readers who have interest or own Sedan style vehicles.,3,Automotive,Auto Body Styles,Sedan,,,,Interest > Automotive > Auto Body Styles > Sedan,0.75,0.1,Yes,"2,352,465","2,352,465",,
Interest,760,1084,Luxury,Readers who have interest or own Luxury.,3,Automotive,Auto Type,Luxury,,,,Interest > Automotive > Auto Type > Luxury,0.65,0.1,Yes,"293,587","293,587",,
Interest,761,10000,SUV,Readers who have interest or own SUV style vehicles.,3,Automotive,Auto Body Styles,SUV,,,,Interest > Automotive > Auto Body Styles > SUV,0.75,0.1,Yes,"2,115,752","2,115,752",,
Interest,765,10022,International Motorcycles,"Focuses on individuals interested in international motorcycle brands, highlighting trends and brand loyalties.",3,Automotive,Motorcycles,International Motorcycles,,,,Interest > Automotive > Motorcycles > International Motorcycles,0.65,0.1,Yes,"171,898","171,898",,
Interest,766,10022,Harley Davidson Motorcycles,"Covers enthusiasts and owners of Harley Davidson motorcycles, focusing on brand culture and loyalty.",3,Automotive,Motorcycles,Harley Davidson Motorcycles,,,,Interest > Automotive > Motorcycles > Harley Davidson Motorcycles,0.65,0.1,Yes,"392,471","392,471",,
Interest,767,1084,Budget Cars,Readers who have interest or own Budget Cars.,3,Automotive,Auto Type,Budget Cars,,,,Interest > Automotive > Auto Type > Budget Cars,0.65,0.1,Yes,"3,361,345","3,361,345",,
Interest,809,10445,Action and Adventure Video Games,"Highlights fast-paced games that involve combat, challenges, and exploration.",3,Video Gaming,Video Game Genres,Action and Adventure Video Games,,,,Interest > Video Gaming > Video Game Genres > Action and Adventure Video Games,0.75,0.1,Yes,"20,295,622","9,159,590","39,286,031",
Interest,811,1138,Women's Clothing,"Focuses on diverse clothing styles, from casual wear to formal attire.",3,Style and Fashion,Women's Fashion,Women's Clothing,,,,Interest > Style and Fashion > Women's Fashion > Women's Clothing,0.75,0.1,Yes,"15,694,652","7,800,618","39,091,537",
Interest,812,10359,Men's Clothing,"Highlights men’s clothing trends, from casual to formal wear.",3,Style and Fashion,Men's Fashion,Men's Clothing,,,,Interest > Style and Fashion > Men's Fashion > Men's Clothing,0.75,0.1,Yes,"7,159,862","3,118,034","16,871,620",
Interest,814,115,Mathematics,"Covers mathematical concepts, applications, and resources for education and practical use in various fields.",2,Science,Mathematics,,,,,Interest > Science > Mathematics,0.75,0.1,Yes,"11,618,354","4,986,726","22,289,339",
Interest,815,115,Biological Sciences,"Focuses on topics related to living organisms, including biology, ecology, and genetics.",2,Science,Biological Sciences,,,,,Interest > Science > Biological Sciences,0.75,0.1,Yes,"29,875,516","13,617,423","74,241,545",
Interest,816,113,Personal Investing,"Explores investment options, financial planning, and strategies for building wealth.",2,Personal Finance,Personal Investing,,,,,Interest > Personal Finance > Personal Investing,0.75,0.1,Yes,"16,837,278","9,130,358","36,538,781",
Interest,817,987,Board Games and Puzzles,Readers who are engaged or interested in games and puzzles as a hobby.,3,Hobbies and Interests,Games and Puzzles,Board Games and Puzzles,,,,Interest > Hobbies and Interests > Games and Puzzles > Board Games and Puzzles,0.75,0.1,Yes,"45,545,173","23,320,277","120,625,021",
Interest,818,117,Soccer,"Focuses on the global game, including professional leagues, players, and tournaments like the FIFA World Cup.",2,Sports,Soccer,,,,,Interest > Sports > Soccer,0.75,0.1,Yes,"50,695,732","7,243,473","37,404,575",
Interest,819,10445,MMOs,"Covers massively multiplayer online games, emphasizing community-driven gameplay and expansive virtual worlds.",3,Video Gaming,Video Game Genres,MMOs,,,,Interest > Video Gaming > Video Game Genres > MMOs,0.75,0.1,Yes,"14,735,257","7,098,269","41,378,131",
Interest,820,103,Industries,"Highlights trends, challenges, and opportunities across various sectors of the global economy.",2,Business and Finance,Industries,,,,,Interest > Business and Finance > Industries,0.75,0.1,Yes,"143,409,259","86,747,860","314,368,534",
Interest,826,820,Hospitality Industry,Readers who are interested in or associated with the Hospitality Industry.,3,Business and Finance,Industries,Hospitality Industry,,,,Interest > Business and Finance > Industries > Hospitality Industry,0.75,0.1,Yes,"1,364,213","203,515","1,068,804",
Interest,827,820,Healthcare Industry,Readers who are interested in or associated with the Healthcare Industry.,3,Business and Finance,Industries,Healthcare Industry,,,,Interest > Business and Finance > Industries > Healthcare Industry,0.75,0.1,Yes,"1,212,232","750,376","3,347,571",
Interest,828,820,Legal Services Industry,Readers who are interested in or associated with the Legal Services Industry.,3,Business and Finance,Industries,Legal Services Industry,,,,Interest > Business and Finance > Industries > Legal Services Industry,0.75,0.1,Yes,"159,633","13,132","72,534",
Interest,829,10039,Human Resources,"Highlights personnel management, including recruitment, benefits, and workplace culture.",3,Business and Finance,Business,Human Resources,,,,Interest > Business and Finance > Business > Human Resources,0.75,0.1,Yes,"286,963","111,383","554,456",
Interest,830,10039,Marketing and Advertising,"Readers who are interested in strategies for promoting products and services, including digital marketing and traditional advertising.",3,Business and Finance,Business,Marketing and Advertising,,,,Interest > Business and Finance > Business > Marketing and Advertising,0.75,0.1,Yes,"1,488,822","677,068","2,342,901",
Interest,831,820,Advertising Industry,Readers who are interested in or associated with the Advertising Industry.,3,Business and Finance,Industries,Advertising Industry,,,,Interest > Business and Finance > Industries > Advertising Industry,0.75,0.1,Yes,"56,004,099","50,231,750","143,868,554",
Interest,832,10039,Small and Medium-sized Business,Specifically highlights small and medium-sized businesses.,3,Business and Finance,Business,Small and Medium-sized Business,,,,Interest > Business and Finance > Business > Small and Medium-sized Business,0.75,0.1,Yes,"646,798","402,409","1,670,012",
Interest,833,10039,Executive Leadership and Management,"Focuses on strategies for effective leadership, decision-making, and team management.",3,Business and Finance,Business,Executive Leadership and Management,,,,Interest > Business and Finance > Business > Executive Leadership and Management,0.75,0.1,Yes,"15,015,552","8,466,277","42,612,550",
Interest,834,10039,Business I.T.,Highlights information technology solutions and infrastructure for enhancing business operations.,3,Business and Finance,Business,Business I.T.,,,,Interest > Business and Finance > Business > Business I.T.,0.75,0.1,Yes,"1,947,613","1,119,876","4,181,550",
Interest,835,10039,Business Operations,"Covers operational efficiency, supply chain management, and process optimization.",3,Business and Finance,Business,Business Operations,,,,Interest > Business and Finance > Business > Business Operations,0.75,0.1,Yes,"2,451,810","637,899","3,352,205",
Interest,836,10039,Business Administration,Covers operational management and organizational strategies for businesses of all sizes.,3,Business and Finance,Business,Business Administration,,,,Interest > Business and Finance > Business > Business Administration,0.75,0.1,Yes,"548,978","7,556","47,303",
Interest,837,10039,Business Banking and Finance,"Focuses on financial services for businesses, including banking products and financial management.",3,Business and Finance,Business,Business Banking and Finance,,,,Interest > Business and Finance > Business > Business Banking and Finance,0.75,0.1,Yes,"10,232,047","5,514,300","30,359,747",
Interest,838,10039,Business Accounting and Finance,"Focuses on managing company finances, bookkeeping, tax strategies, and financial planning.",3,Business and Finance,Business,Business Accounting and Finance,,,,Interest > Business and Finance > Business > Business Accounting and Finance,0.75,0.1,Yes,"2,496,335","1,675,152","4,707,291",
Interest,839,835,Bussiness Sales Development,"Focuses on strategies, tools, and techniques for improving sales pipelines and client relationships.",4,Business and Finance,Business,Business Operations,Bussiness Sales Development,,,Interest > Business and Finance > Business > Business Operations > Bussiness Sales Development,0.75,0.1,Yes,"5,046,053","2,263,358","11,708,256",
Interest,840,820,Manufacturing Industry,Readers who are interested in or associated with the Manufacturing Industry.,3,Business and Finance,Industries,Manufacturing Industry,,,,Interest > Business and Finance > Industries > Manufacturing Industry,0.75,0.1,Yes,"1,975,334","986,102","5,433,565",
Interest,841,820,Construction Industry,Readers who are interested in or associated with the Construction Industry.,3,Business and Finance,Industries,Construction Industry,,,,Interest > Business and Finance > Industries > Construction Industry,0.75,0.1,Yes,"2,026,143","752,249","4,205,429",
Interest,842,820,Mechanical and Industrial Engineering Industry,Readers who are interested in or associated with the Mechanical and Industrial Engineering Industry.,3,Business and Finance,Industries,Mechanical and Industrial Engineering Industry,,,,Interest > Business and Finance > Industries > Mechanical and Industrial Engineering Industry,0.75,0.1,Yes,"253,608","142,901","573,917",
Interest,843,10109,"Betting, Gambling and Lottery",Readers who are interested in gambling and lottery.,3,Attractions,Casinos and Gambling,"Betting, Gambling and Lottery",,,,"Interest > Attractions > Casinos and Gambling > Betting, Gambling and Lottery",0.75,0.1,Yes,"98,576,007","16,716,782","61,955,960",
Interest,844,820,Publishing Industry,Readers who are interested in or associated with the Publishing Industry.,3,Business and Finance,Industries,Publishing Industry,,,,Interest > Business and Finance > Industries > Publishing Industry,0.75,0.1,Yes,"1,569,407","510,666","2,887,595",
Interest,845,820,Paper Industry,Readers who are interested in or associated with the Paper Industry.,3,Business and Finance,Industries,Paper Industry,,,,Interest > Business and Finance > Industries > Paper Industry,0.75,0.1,Yes,"42,828","19,043","90,733",
Interest,846,820,Petrochemistry Industry,Readers who are interested in or associated with the Petrochemistry Industry.,3,Business and Finance,Industries,Petrochemistry Industry,,,,Interest > Business and Finance > Industries > Petrochemistry Industry,0.75,0.1,Yes,"1,245,690","694,124","3,841,782",
Interest,847,820,Plastics Industry,Readers who are interested in or associated with the Plastics Industry.,3,Business and Finance,Industries,Plastics Industry,,,,Interest > Business and Finance > Industries > Plastics Industry,0.75,0.1,Yes,"329,212","193,148","1,149,277",
Interest,848,820,Shipbuilding Industry,Readers who are interested in or associated with the Shipbuilding Industry.,3,Business and Finance,Industries,Shipbuilding Industry,,,,Interest > Business and Finance > Industries > Shipbuilding Industry,0.75,0.1,Yes,"1,206,372","289,445","1,077,674",
Interest,849,820,Ceramic Industry,Readers who are interested in or associated with the Ceramic Industry.,3,Business and Finance,Industries,Ceramic Industry,,,,Interest > Business and Finance > Industries > Ceramic Industry,0.75,0.1,Yes,"248,919","100,070","599,096",
Interest,850,820,Textile Industry,Readers who are interested in or associated with the Textile Industry.,3,Business and Finance,Industries,Textile Industry,,,,Interest > Business and Finance > Industries > Textile Industry,0.75,0.1,Yes,"1,242,092","484,626","2,609,069",
Interest,851,961,Smartphones,"Explores the latest trends, features, and applications for smartphones across brands.",3,Technology and Computing,Consumer Electronics,Smartphones,,,,Interest > Technology and Computing > Consumer Electronics > Smartphones,0.75,0.1,Yes,"15,306,269","3,282,002","15,738,962",
Interest,852,961,Tablets and E-readers,"Covers portable devices for reading, browsing, and productivity, including comparisons and recommendations.",3,Technology and Computing,Consumer Electronics,Tablets and E-readers,,,,Interest > Technology and Computing > Consumer Electronics > Tablets and E-readers,0.75,0.1,Yes,"3,951,201","2,338,447","7,625,311",
Interest,854,9043,Console Games,"Focuses on games designed for home gaming consoles like PlayStation, Xbox, and Nintendo systems.",2,Video Gaming,Console Games,,,,,Interest > Video Gaming > Console Games,0.75,0.1,Yes,"20,225,091","9,062,123","45,419,684",
Interest,855,10445,Sports Video Games,"Covers games simulating real-world sports, including football, basketball, and soccer.",3,Video Gaming,Video Game Genres,Sports Video Games,,,,Interest > Video Gaming > Video Game Genres > Sports Video Games,0.75,0.1,Yes,"1,143,688","347,147","1,866,505",
Interest,856,10133,Alcoholic Beverages,"Highlights wines, beers, spirits, and cocktails, along with pairing suggestions and consumption trends.",2,Food and Drink,Alcoholic Beverages,,,,,Interest > Food and Drink > Alcoholic Beverages,0.75,0.1,Yes,"8,182,322","3,277,298","17,360,998",
Interest,857,856,Beer,"Highlights the brewing process, types of beer, craft breweries, and trends in beer culture.",3,Food and Drink,Alcoholic Beverages,Beer,,,,Interest > Food and Drink > Alcoholic Beverages > Beer,0.75,0.1,Yes,"1,460,152","641,677","3,548,123",
Interest,858,856,Spirits and Cocktails,"Covers spirits like whiskey, vodka, and rum, along with cocktail recipes, mixology tips, and bar trends.",3,Food and Drink,Alcoholic Beverages,Spirits and Cocktails,,,,Interest > Food and Drink > Alcoholic Beverages > Spirits and Cocktails,0.75,0.1,Yes,"3,001,560","1,785,906","10,327,185",
Interest,859,856,Wine,"Explores wine varieties, pairing recommendations, vineyards, and wine-tasting events.",3,Food and Drink,Alcoholic Beverages,Wine,,,,Interest > Food and Drink > Alcoholic Beverages > Wine,0.75,0.1,Yes,"3,532,904","979,555","4,588,274",
Interest,860,10139,Coffee and Tea,"Focuses on brewing techniques, flavor profiles, and cultural significance of coffee and tea beverages.",3,Food and Drink,Non-Alcoholic Beverages,Coffee and Tea,,,,Interest > Food and Drink > Non-Alcoholic Beverages > Coffee and Tea,0.75,0.1,Yes,"5,052,393","2,185,571","12,467,214",
Interest,861,10133,Cooking,"Explores techniques, tips, and recipes for preparing a variety of meals at home.",2,Food and Drink,Cooking,,,,,Interest > Food and Drink > Cooking,0.75,0.1,Yes,"36,893,598","13,489,867","73,072,341",
Interest,862,888,Nutrition,"Focuses on dietary advice, meal planning, and understanding the nutritional value of foods.",2,Healthy Living,Nutrition,,,,,Interest > Healthy Living > Nutrition,0.75,0.1,Yes,"11,769,344","3,033,297","16,438,310",
Interest,863,888,Weight Loss,"Provides resources for achieving healthy weight loss through diet, exercise, and lifestyle changes.",2,Healthy Living,Weight Loss,,,,,Interest > Healthy Living > Weight Loss,0.75,0.1,Yes,"5,367,352","2,240,541","10,695,879",
Interest,864,10133,Healthy Cooking and Eating,Emphasizes nutritious recipes and strategies for maintaining a balanced diet.,2,Food and Drink,Healthy Cooking and Eating,,,,,Interest > Food and Drink > Healthy Cooking and Eating,0.75,0.1,Yes,"4,730,189","2,145,538","11,940,374",
Interest,865,10133,Vegan Diets,"Focuses on plant-based eating, including recipes, nutrition tips, and lifestyle benefits of a vegan diet.",2,Food and Drink,Vegan Diets,,,,,Interest > Food and Drink > Vegan Diets,0.75,0.1,Yes,"737,786","304,177","1,480,816",
Interest,866,10133,Vegetarian Diets,"Covers vegetarian-friendly recipes, meal plans, and health benefits of meat-free eating.",2,Food and Drink,Vegetarian Diets,,,,,Interest > Food and Drink > Vegetarian Diets,0.75,0.1,Yes,"839,784","324,637","2,108,556",
Interest,867,10133,Desserts and Baking,"Features recipes, techniques, and trends in creating sweet treats, from cakes to pastries.",2,Food and Drink,Desserts and Baking,,,,,Interest > Food and Drink > Desserts and Baking,0.75,0.1,Yes,"35,536,772","14,168,160","75,395,960",
Interest,868,861,Frozen Food,"Highlights trends, brands, and innovations in frozen food products, including convenience meals and healthy options.",3,Food and Drink,Cooking,Frozen Food,,,,Interest > Food and Drink > Cooking > Frozen Food,0.75,0.1,Yes,"955,922","305,553","1,983,133",
Interest,869,122,Grocery Shopping,"Covers tips for managing grocery budgets, meal planning, and shopping for essentials.",2,Shopping,Grocery Shopping,,,,,Interest > Shopping > Grocery Shopping,0.75,0.1,Yes,"1,771,374","629,854","3,748,113",
Interest,870,122,Coupons and Discounts,"Offers resources for saving money through promotional deals, discounts, and coupons.",2,Shopping,Coupons and Discounts,,,,,Interest > Shopping > Coupons and Discounts,0.75,0.1,Yes,"2,370,550","1,409,213","6,980,017",
Interest,871,122,Household Supplies,"Highlights products for maintaining a clean, organized, and functional home.",2,Shopping,Household Supplies,,,,,Interest > Shopping > Household Supplies,0.75,0.1,Yes,"767,518","186,837","932,048",
Interest,873,105,Adult Education,Caters to lifelong learners seeking skills or certifications for personal or professional development.,2,Education,Adult Education,,,,,Interest > Education > Adult Education,0.75,0.1,Yes,"38,120","13,011","52,889",
Interest,874,105,College Education,"Focuses on higher education institutions, academic programs, campus life, and student resources.",2,Education,College Education,,,,,Interest > Education > College Education,0.75,0.1,Yes,"15,556,838","8,502,690","42,761,808",
Interest,875,105,Early Childhood Education,"Emphasizes preschool learning, developmental milestones, and early education programs.",2,Education,Early Childhood Education,,,,,Interest > Education > Early Childhood Education,0.75,0.1,Yes,"259,910","25,861","130,333",
Interest,877,106,Divorce,"Focuses on navigating the legal, emotional, and financial aspects of divorce.",2,Family and Relationships,Divorce,,,,,Interest > Family and Relationships > Divorce,0.75,0.1,Yes,"4,638,829","2,853,094","13,339,748",
Interest,878,106,Marriage and Civil Unions,"Highlights topics related to marriage, partnerships, and long-term commitments.",2,Family and Relationships,Marriage and Civil Unions,,,,,Interest > Family and Relationships > Marriage and Civil Unions,0.75,0.1,Yes,"16,310,831","7,649,232","41,283,717",
Interest,880,113,Insurance,Focuses on protecting assets and managing risks through various types of insurance.,2,Personal Finance,Insurance,,,,,Interest > Personal Finance > Insurance,0.75,0.1,Yes,"3,055,221","1,349,137","7,276,558",
Interest,881,880,Motor Insurance,"Highlights auto insurance policies, covering liability, collision, and comprehensive coverage options.",3,Personal Finance,Insurance,Motor Insurance,,,,Interest > Personal Finance > Insurance > Motor Insurance,0.75,0.1,Yes,"206,794","17,000","83,916",
Interest,882,880,Health Insurance,"Explores coverage options, benefits, and resources for managing medical expenses.",3,Personal Finance,Insurance,Health Insurance,,,,Interest > Personal Finance > Insurance > Health Insurance,0.75,0.1,Yes,"1,315,566","995,262","5,233,905",
Interest,883,880,Home Insurance,Covers policies that protect homes and property from damages or theft.,3,Personal Finance,Insurance,Home Insurance,,,,Interest > Personal Finance > Insurance > Home Insurance,0.75,0.1,Yes,"91,180","28,692","146,162",
Interest,884,880,Life Insurance,"Provides information on life insurance policies, including term, whole, and universal life coverage.",3,Personal Finance,Insurance,Life Insurance,,,,Interest > Personal Finance > Insurance > Life Insurance,0.75,0.1,Yes,"138,107","67,167","570,783",
Interest,885,113,Consumer Banking,"Highlights personal banking services, including checking accounts, savings accounts, and mobile banking solutions.",2,Personal Finance,Consumer Banking,,,,,Interest > Personal Finance > Consumer Banking,0.75,0.1,Yes,"8,489,987","2,028,928","11,602,998",
Interest,886,959,Cryptocurrencies,"Focuses on digital currencies like Bitcoin and Ethereum, including market trends, trading, and blockchain technology.",3,Technology and Computing,Computing,Cryptocurrencies,,,,Interest > Technology and Computing > Computing > Cryptocurrencies,0.75,0.1,Yes,"9,112,898","4,856,797","18,104,560",
Interest,887,10251,Credit Cards,"Covers credit card types, management tips, and strategies for reducing debt.",3,Personal Finance,Personal Debt,Credit Cards,,,,Interest > Personal Finance > Personal Debt > Credit Cards,0.75,0.1,Yes,"1,680,438","617,059","3,334,068",
Interest,888,0,Healthy Living,"Covers a wide range of topics focused on physical and mental well-being, including lifestyle tips and health advice.",1,Healthy Living,,,,,,Interest > Healthy Living,0.75,0.1,Yes,"32,140,946","12,725,096","59,639,305",
Interest,889,888,Fitness and Exercise,Fitness and exercise related topics.,2,Healthy Living,Fitness and Exercise,,,,,Interest > Healthy Living > Fitness and Exercise,0.75,0.1,Yes,"10,077,026","4,462,074","23,086,965",
Interest,890,10142,Medicine,"Covers medical advancements, treatments, and innovations in healthcare delivery and research.",3,Healthy Living,Wellness,Medicine,,,,Interest > Healthy Living > Wellness > Medicine,0.75,0.1,Yes,"73,325,563","30,042,319","137,817,351",
Interest,892,110,Home Appliances,"Highlights essential household devices, from kitchen appliances to smart home technology.",2,Home and Garden,Home Appliances,,,,,Interest > Home and Garden > Home Appliances,0.75,0.1,Yes,"14,383,018","5,241,449","28,216,132",
Interest,893,110,Gardening,"Highlights gardening interest, covering gardening materials and tips and tricks.",2,Home and Garden,Gardening,,,,,Interest > Home and Garden > Gardening,0.75,0.1,Yes,"8,130,567","2,793,098","15,287,484",
Interest,894,110,Home Improvement,"Focuses on renovating, repairing, and enhancing homes to improve functionality and aesthetics.",2,Home and Garden,Home Improvement,,,,,Interest > Home and Garden > Home Improvement,0.75,0.1,Yes,"3,251,803","2,170,808","10,657,811",
Interest,895,110,DIY,"Focuses on do-it-yourself projects for home improvement, crafting, and creative problem-solving.",2,Home and Garden,DIY,,,,,Interest > Home and Garden > DIY,0.75,0.1,Yes,"5,036,949","2,901,717","16,762,044",
Interest,896,110,Furniture,"Explores trends and innovations in furniture design, materials, and functionality for various spaces.",2,Home and Garden,Furniture,,,,,Interest > Home and Garden > Furniture,0.75,0.1,Yes,"6,897,267","2,641,368","14,118,786",
Interest,897,110,Outdoor Decorating,"Explores outdoor decor ideas, including patios, gardens, and seasonal displays.",2,Home and Garden,Outdoor Decorating,,,,,Interest > Home and Garden > Outdoor Decorating,0.75,0.1,Yes,"1,043,834","591,787","3,089,611",
Interest,898,110,Interior Decorating,"Highlights design trends, decor ideas, and tips for beautifying indoor spaces.",2,Home and Garden,Interior Decorating,,,,,Interest > Home and Garden > Interior Decorating,0.75,0.1,Yes,"11,569,669","4,848,977","26,203,113",
Interest,939,116,Reptiles,"Covers the care, feeding, and habitat requirements for reptiles, including snakes, lizards, and turtles.",2,Pets,Reptiles,,,,,Interest > Pets > Reptiles,0.75,0.1,Yes,"114,974","40,295","232,055",
Interest,940,812,Men's Sportswear,"Explores athletic wear for men, designed for performance and comfort.",4,Style and Fashion,Men's Fashion,Men's Clothing,Men's Sportswear,,,Interest > Style and Fashion > Men's Fashion > Men's Clothing > Men's Sportswear,0.75,0.1,Yes,"435,553","74,486","443,212",
Interest,941,812,Men's Outerwear,"Highlights jackets, coats, and weather-appropriate outerwear for men.",4,Style and Fashion,Men's Fashion,Men's Clothing,Men's Outerwear,,,Interest > Style and Fashion > Men's Fashion > Men's Clothing > Men's Outerwear,0.75,0.1,Yes,"986,570","369,183","2,226,788",
Interest,942,812,Men's Formal Wear,Covers professional and event-specific formal attire for men.,4,Style and Fashion,Men's Fashion,Men's Clothing,Men's Formal Wear,,,Interest > Style and Fashion > Men's Fashion > Men's Clothing > Men's Formal Wear,0.75,0.1,Yes,"571,218","257,706","1,449,886",
Interest,943,812,Men's Casual Wear,"Focuses on relaxed, everyday clothing styles for men.",4,Style and Fashion,Men's Fashion,Men's Clothing,Men's Casual Wear,,,Interest > Style and Fashion > Men's Fashion > Men's Clothing > Men's Casual Wear,0.75,0.1,Yes,"56,582","31,492","191,909",
Interest,944,812,Men's Underwear and Sleepwear,"Focuses on men’s undergarments and sleepwear, emphasizing comfort and practicality.",4,Style and Fashion,Men's Fashion,Men's Clothing,Men's Underwear and Sleepwear,,,Interest > Style and Fashion > Men's Fashion > Men's Clothing > Men's Underwear and Sleepwear,0.75,0.1,Yes,"220,035","108,284","573,711",
Interest,945,812,Men's Swimwear,"Covers styles, materials, and trends in swimwear designed for men.",4,Style and Fashion,Men's Fashion,Men's Clothing,Men's Swimwear,,,Interest > Style and Fashion > Men's Fashion > Men's Clothing > Men's Swimwear,0.75,0.1,Yes,"215,814","165,573","1,014,487",
Interest,946,10359,Men's Accessories,"Covers essential and stylish accessories for men, including ties, belts, and wallets.",3,Style and Fashion,Men's Fashion,Men's Accessories,,,,Interest > Style and Fashion > Men's Fashion > Men's Accessories,0.75,0.1,Yes,"3,428,126","2,191,012","11,623,563",
Interest,947,10359,Men's Shoes and Footwear,"Covers footwear styles for men, from casual to formal designs.",3,Style and Fashion,Men's Fashion,Men's Shoes and Footwear,,,,Interest > Style and Fashion > Men's Fashion > Men's Shoes and Footwear,0.75,0.1,Yes,"1,918,588","965,426","5,579,888",
Interest,948,10352,Women's Handbags and Wallets,"Focuses on stylish and functional handbags, wallets, and clutches.",4,Style and Fashion,Women's Fashion,Women's Accessories,Women's Handbags and Wallets,,,Interest > Style and Fashion > Women's Fashion > Women's Accessories > Women's Handbags and Wallets,0.75,0.1,Yes,"1,923,990","1,198,727","6,536,397",
Interest,950,811,Women's Outerwear,"Covers coats, jackets, and other outerwear designed for style and seasonal functionality.",4,Style and Fashion,Women's Fashion,Women's Clothing,Women's Outerwear,,,Interest > Style and Fashion > Women's Fashion > Women's Clothing > Women's Outerwear,0.75,0.1,Yes,"1,593,180","620,766","3,466,874",
Interest,951,811,Women's Formal Wear,Covers elegant clothing options for formal occasions and events.,4,Style and Fashion,Women's Fashion,Women's Clothing,Women's Formal Wear,,,Interest > Style and Fashion > Women's Fashion > Women's Clothing > Women's Formal Wear,0.75,0.1,Yes,"753,965","400,429","2,379,961",
